fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,4472
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,4088
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,728
216.58.207.196,192.168.3.59,23624
192.168.3.59,192.168.3.1,520
192.168.3.59,192.168.3.1,896
192.168.3.5,216.58.211.138,22080
192.168.3.5,203.205.232.66,832
192.168.3.5,192.168.3.255,624
192.168.3.5,192.168.3.1,544
192.168.3.5,192.168.3.1,440
192.168.3.5,172.217.21.174,28320
192.168.3.1,192.168.3.59,5424
192.168.3.1,192.168.3.59,5408
192.168.3.1,192.168.3.59,5240
192.168.3.1,192.168.3.59,5048
192.168.3.1,192.168.3.59,3848
192.168.3.1,192.168.3.59,2224
192.168.3.1,192.168.3.59,1120
192.168.3.1,192.168.3.5,4096
192.168.3.1,192.168.3.5,2552
17.57.146.139,192.168.3.5,1024
17.253.5.202,192.168.3.5,28120
172.217.22.174,192.168.3.5,22056
172.217.22.174,192.168.3.5,17072
172.217.21.174,192.168.3.5,24896
172.217.21.174,192.168.3.5,18680
162.62.97.64,192.168.3.5,4320
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,5852
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,5264
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,1533
fe80::5c:9bce:309:e981,ff02::1:3,980
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,2744
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,1260
192.168.3.62,224.0.0.22,280
192.168.3.59,192.168.3.1,994
192.168.3.59,103.235.46.39,11368
192.168.3.5,65.9.54.102,16492
192.168.3.5,17.252.194.199,12194
192.168.3.5,172.217.22.174,22995
192.168.3.5,172.217.21.174,24892
192.168.3.14,224.0.0.252,700
192.168.3.1,192.168.3.59,4753
192.168.3.1,192.168.3.59,4389
192.168.3.1,192.168.3.59,2849
172.217.22.163,192.168.3.5,12551
172.217.21.174,192.168.3.5,22169
172.217.21.174,192.168.3.5,22155
172.217.21.174,192.168.3.5,21812
172.217.21.163,192.168.3.5,16037
162.62.97.64,192.168.3.5,3703
103.235.46.39,192.168.3.59,6615
fe80::c29:281b:57a4:f537,ff02::1:3,972
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff5a:b0ec,432
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,5304
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,4368
